"label","exposure_spline","mean","rr"
"cvd_stroke_95",0,1,1
"cvd_stroke_95",0.01,1.00005138173948,1.00005138173948
"cvd_stroke_95",0.02,1.000102754268,1.000102754268
"cvd_stroke_95",0.03,1.00015411758773,1.00015411758773
"cvd_stroke_95",0.04,1.00020547170081,1.00020547170081
"cvd_stroke_95",0.05,1.00025681660943,1.00025681660943
"cvd_stroke_95",0.06,1.00030815231575,1.00030815231575
"cvd_stroke_95",0.07,1.00035947882192,1.00035947882192
"cvd_stroke_95",0.08,1.00041079613013,1.00041079613013
"cvd_stroke_95",0.09,1.00046210424252,1.00046210424252
"cvd_stroke_95",0.1,1.00051340316128,1.00051340316128
"cvd_stroke_95",0.11,1.00056469288855,1.00056469288855
"cvd_stroke_95",0.12,1.00061597342652,1.00061597342652
"cvd_stroke_95",0.13,1.00066724477733,1.00066724477733
"cvd_stroke_95",0.14,1.00071850694317,1.00071850694317
"cvd_stroke_95",0.15,1.00076975992619,1.00076975992619
"cvd_stroke_95",0.16,1.00082100372856,1.00082100372856
"cvd_stroke_95",0.17,1.00087223835244,1.00087223835244
"cvd_stroke_95",0.18,1.00092346380001,1.00092346380001
"cvd_stroke_95",0.19,1.00097468007341,1.00097468007341
"cvd_stroke_95",0.2,1.00102588717483,1.00102588717483
"cvd_stroke_95",0.21,1.00107708510642,1.00107708510642
"cvd_stroke_95",0.22,1.00112827387036,1.00112827387036
"cvd_stroke_95",0.23,1.0011794534688,1.0011794534688
"cvd_stroke_95",0.24,1.00123062390391,1.00123062390391
"cvd_stroke_95",0.25,1.00128178517785,1.00128178517785
"cvd_stroke_95",0.26,1.0013329372928,1.0013329372928
"cvd_stroke_95",0.27,1.00138408025092,1.00138408025092
"cvd_stroke_95",0.28,1.00143521405436,1.00143521405436
"cvd_stroke_95",0.29,1.00148633870531,1.00148633870531
"cvd_stroke_95",0.3,1.00153745420591,1.00153745420591
"cvd_stroke_95",0.31,1.00158856055835,1.00158856055835
"cvd_stroke_95",0.32,1.00163965776478,1.00163965776478
"cvd_stroke_95",0.33,1.00169074582736,1.00169074582736
"cvd_stroke_95",0.34,1.00174182474827,1.00174182474827
"cvd_stroke_95",0.35,1.00179289452967,1.00179289452967
"cvd_stroke_95",0.36,1.00184395517372,1.00184395517372
"cvd_stroke_95",0.37,1.00189500668259,1.00189500668259
"cvd_stroke_95",0.38,1.00194604905844,1.00194604905844
"cvd_stroke_95",0.39,1.00199708230345,1.00199708230345
"cvd_stroke_95",0.4,1.00204810641977,1.00204810641977
"cvd_stroke_95",0.41,1.00209912140957,1.00209912140957
"cvd_stroke_95",0.42,1.00215012727501,1.00215012727501
"cvd_stroke_95",0.43,1.00220112401827,1.00220112401827
"cvd_stroke_95",0.44,1.0022521116415,1.0022521116415
"cvd_stroke_95",0.45,1.00230309014688,1.00230309014688
"cvd_stroke_95",0.46,1.00235405953655,1.00235405953655
"cvd_stroke_95",0.47,1.00240501981271,1.00240501981271
"cvd_stroke_95",0.48,1.00245597097749,1.00245597097749
"cvd_stroke_95",0.49,1.00250691303308,1.00250691303308
"cvd_stroke_95",0.5,1.00255784598164,1.00255784598164
"cvd_stroke_95",0.51,1.00260876982533,1.00260876982533
"cvd_stroke_95",0.52,1.00265968456632,1.00265968456632
"cvd_stroke_95",0.53,1.00271059020677,1.00271059020677
"cvd_stroke_95",0.54,1.00276148674885,1.00276148674885
"cvd_stroke_95",0.55,1.00281237419472,1.00281237419472
"cvd_stroke_95",0.56,1.00286325254656,1.00286325254656
"cvd_stroke_95",0.57,1.00291412180651,1.00291412180651
"cvd_stroke_95",0.58,1.00296498197676,1.00296498197676
"cvd_stroke_95",0.59,1.00301583305946,1.00301583305946
"cvd_stroke_95",0.6,1.00306667505678,1.00306667505678
"cvd_stroke_95",0.61,1.00311750797088,1.00311750797088
"cvd_stroke_95",0.62,1.00316833180394,1.00316833180394
"cvd_stroke_95",0.63,1.00321914655811,1.00321914655811
"cvd_stroke_95",0.64,1.00326995223556,1.00326995223556
"cvd_stroke_95",0.65,1.00332074883846,1.00332074883846
"cvd_stroke_95",0.66,1.00337153636897,1.00337153636897
