"state","county","tract","GEO_ID","P002001","P002002","P002003","P002004","P002005","P002006","NAME","P002001ERR"
"17","031","804311","1400000US17031804311",8148,8127,8127,0,21,0,"Census Tract 8043.11, Cook County, Illinois",NA
"17","089","852102","1400000US17089852102",8917,8917,8917,0,0,0,"Census Tract 8521.02, Kane County, Illinois",NA
"17","127","970200","1400000US17127970200",4249,4249,0,4249,0,0,"Census Tract 9702, Massac County, Illinois",NA
"17","031","071200","1400000US17031071200",1906,1906,1906,0,0,0,"Census Tract 712, Cook County, Illinois",NA
"17","031","240200","1400000US17031240200",1452,1452,1452,0,0,0,"Census Tract 2402, Cook County, Illinois",NA
"17","167","000201","1400000US17167000201",2401,2401,2401,0,0,0,"Census Tract 2.01, Sangamon County, Illinois",NA
"17","031","500300","1400000US17031500300",1666,1666,1666,0,0,0,"Census Tract 5003, Cook County, Illinois",NA
"17","031","770601","1400000US17031770601",3232,3232,3232,0,0,0,"Census Tract 7706.01, Cook County, Illinois",NA
"17","043","841112","1400000US17043841112",3124,3124,3124,0,0,0,"Census Tract 8411.12, DuPage County, Illinois",NA
"17","031","030500","1400000US17031030500",6395,6395,6395,0,0,0,"Census Tract 305, Cook County, Illinois",NA
"17","097","863300","1400000US17097863300",2736,2736,2736,0,0,0,"Census Tract 8633, Lake County, Illinois",NA
"17","163","503323","1400000US17163503323",6245,6245,6245,0,0,0,"Census Tract 5033.23, St. Clair County, Illinois",NA
"17","141","961400","1400000US17141961400",4119,3724,0,3724,395,0,"Census Tract 9614, Ogle County, Illinois",NA
"17","031","833000","1400000US17031833000",2768,2768,2768,0,0,0,"Census Tract 8330, Cook County, Illinois",NA
"17","031","825600","1400000US17031825600",5627,5627,5627,0,0,0,"Census Tract 8256, Cook County, Illinois",NA
"17","031","806002","1400000US17031806002",7550,7550,7550,0,0,0,"Census Tract 8060.02, Cook County, Illinois",NA
"17","111","870902","1400000US17111870902",7631,5266,935,4331,2365,0,"Census Tract 8709.02, McHenry County, Illinois",NA
"17","097","862605","1400000US17097862605",4367,4367,4367,0,0,0,"Census Tract 8626.05, Lake County, Illinois",NA
"17","031","843100","1400000US17031843100",1892,1892,1892,0,0,0,"Census Tract 8431, Cook County, Illinois",NA
"17","031","816100","1400000US17031816100",6445,6445,6445,0,0,0,"Census Tract 8161, Cook County, Illinois",NA
"17","031","810501","1400000US17031810501",5049,5049,5049,0,0,0,"Census Tract 8105.01, Cook County, Illinois",NA
"17","031","823400","1400000US17031823400",5052,5052,5052,0,0,0,"Census Tract 8234, Cook County, Illinois",NA
"17","091","012100","1400000US17091012100",3461,3461,3461,0,0,0,"Census Tract 121, Kankakee County, Illinois",NA
"17","125","956500","1400000US17125956500",3369,3302,0,3302,67,0,"Census Tract 9565, Mason County, Illinois",NA
"17","031","805600","1400000US17031805600",4511,4511,4511,0,0,0,"Census Tract 8056, Cook County, Illinois",NA
"17","111","871600","1400000US17111871600",4935,4837,4837,0,98,0,"Census Tract 8716, McHenry County, Illinois",NA
"17","197","880502","1400000US17197880502",5075,5075,5075,0,0,0,"Census Tract 8805.02, Will County, Illinois",NA
"17","031","804804","1400000US17031804804",6537,6537,6537,0,0,0,"Census Tract 8048.04, Cook County, Illinois",NA
"17","031","807300","1400000US17031807300",7191,7191,7191,0,0,0,"Census Tract 8073, Cook County, Illinois",NA
"17","163","503903","1400000US17163503903",3385,2009,2009,0,1376,0,"Census Tract 5039.03, St. Clair County, Illinois",NA
"17","043","846103","1400000US17043846103",5490,5490,5490,0,0,0,"Census Tract 8461.03, DuPage County, Illinois",NA
"17","091","011600","1400000US17091011600",1929,1929,1929,0,0,0,"Census Tract 116, Kankakee County, Illinois",NA
"17","201","003707","1400000US17201003707",3792,3792,3792,0,0,0,"Census Tract 37.07, Winnebago County, Illinois",NA
"17","177","001100","1400000US17177001100",3208,3208,0,3208,0,0,"Census Tract 11, Stephenson County, Illinois",NA
"17","149","952700","1400000US17149952700",4762,4550,0,4550,212,0,"Census Tract 9527, Pike County, Illinois",NA
"17","163","503324","1400000US17163503324",5675,5675,5675,0,0,0,"Census Tract 5033.24, St. Clair County, Illinois",NA
"17","183","000700","1400000US17183000700",3568,3342,3342,0,226,0,"Census Tract 7, Vermilion County, Illinois",NA
"17","111","871305","1400000US17111871305",6705,6705,6705,0,0,0,"Census Tract 8713.05, McHenry County, Illinois",NA
"17","051","950900","1400000US17051950900",2089,1951,0,1951,138,0,"Census Tract 9509, Fayette County, Illinois",NA
"17","089","854302","1400000US17089854302",5580,5580,5580,0,0,0,"Census Tract 8543.02, Kane County, Illinois",NA
"17","201","002900","1400000US17201002900",1111,1111,1111,0,0,0,"Census Tract 29, Winnebago County, Illinois",NA
"17","031","110200","1400000US17031110200",2828,2828,2828,0,0,0,"Census Tract 1102, Cook County, Illinois",NA
"17","193","958200","1400000US17193958200",2880,16,0,16,2864,0,"Census Tract 9582, White County, Illinois",NA
"17","043","844307","1400000US17043844307",3386,3386,3386,0,0,0,"Census Tract 8443.07, DuPage County, Illinois",NA
"17","031","826901","1400000US17031826901",1894,1894,1894,0,0,0,"Census Tract 8269.01, Cook County, Illinois",NA
"17","031","160300","1400000US17031160300",3785,3785,3785,0,0,0,"Census Tract 1603, Cook County, Illinois",NA
"17","099","963200","1400000US17099963200",3177,2571,0,2571,606,0,"Census Tract 9632, LaSalle County, Illinois",NA
"17","109","010600","1400000US17109010600",2343,2236,0,2236,107,0,"Census Tract 106, McDonough County, Illinois",NA
"17","031","812302","1400000US17031812302",2818,2818,2818,0,0,0,"Census Tract 8123.02, Cook County, Illinois",NA
"17","031","671400","1400000US17031671400",2072,2072,2072,0,0,0,"Census Tract 6714, Cook County, Illinois",NA
"17","043","844201","1400000US17043844201",5838,5838,5838,0,0,0,"Census Tract 8442.01, DuPage County, Illinois",NA
"17","031","813100","1400000US17031813100",4538,4538,4538,0,0,0,"Census Tract 8131, Cook County, Illinois",NA
"17","031","060800","1400000US17031060800",4837,4837,4837,0,0,0,"Census Tract 608, Cook County, Illinois",NA
"17","201","000501","1400000US17201000501",4773,4773,4773,0,0,0,"Census Tract 5.01, Winnebago County, Illinois",NA
"17","097","861106","1400000US17097861106",8288,8288,8288,0,0,0,"Census Tract 8611.06, Lake County, Illinois",NA
"17","031","808100","1400000US17031808100",3931,3931,3931,0,0,0,"Census Tract 8081, Cook County, Illinois",NA
"17","111","870606","1400000US17111870606",4153,4153,4153,0,0,0,"Census Tract 8706.06, McHenry County, Illinois",NA
"17","031","090200","1400000US17031090200",6564,6564,6564,0,0,0,"Census Tract 902, Cook County, Illinois",NA
"17","145","030200","1400000US17145030200",7772,5670,0,5670,2102,0,"Census Tract 302, Perry County, Illinois",NA
"17","145","030400","1400000US17145030400",2651,1861,0,1861,790,0,"Census Tract 304, Perry County, Illinois",NA
"17","041","952100","1400000US17041952100",4081,272,0,272,3809,0,"Census Tract 9521, Douglas County, Illinois",NA
"17","043","841104","1400000US17043841104",4469,4469,4469,0,0,0,"Census Tract 8411.04, DuPage County, Illinois",NA
"17","089","853008","1400000US17089853008",4400,4400,4400,0,0,0,"Census Tract 8530.08, Kane County, Illinois",NA
"17","091","011100","1400000US17091011100",2063,0,0,0,2063,0,"Census Tract 111, Kankakee County, Illinois",NA
"17","181","950500","1400000US17181950500",3770,9,0,9,3761,0,"Census Tract 9505, Union County, Illinois",NA
"17","109","010700","1400000US17109010700",4310,4266,0,4266,44,0,"Census Tract 107, McDonough County, Illinois",NA
"17","031","240700","1400000US17031240700",1535,1535,1535,0,0,0,"Census Tract 2407, Cook County, Illinois",NA
"17","197","884004","1400000US17197884004",2382,2214,0,2214,168,0,"Census Tract 8840.04, Will County, Illinois",NA
"17","105","960500","1400000US17105960500",2927,2660,0,2660,267,0,"Census Tract 9605, Livingston County, Illinois",NA
"17","043","846404","1400000US17043846404",5931,5931,5931,0,0,0,"Census Tract 8464.04, DuPage County, Illinois",NA
"17","031","804803","1400000US17031804803",5392,5392,5392,0,0,0,"Census Tract 8048.03, Cook County, Illinois",NA
"17","031","837000","1400000US17031837000",2085,2085,2085,0,0,0,"Census Tract 8370, Cook County, Illinois",NA
"17","111","871003","1400000US17111871003",4649,3372,0,3372,1277,0,"Census Tract 8710.03, McHenry County, Illinois",NA
"17","031","810301","1400000US17031810301",4002,4002,4002,0,0,0,"Census Tract 8103.01, Cook County, Illinois",NA
"17","143","002701","1400000US17143002701",3840,3840,3840,0,0,0,"Census Tract 27.01, Peoria County, Illinois",NA
"17","031","150200","1400000US17031150200",7540,7540,7540,0,0,0,"Census Tract 1502, Cook County, Illinois",NA
"17","055","041100","1400000US17055041100",3563,2979,0,2979,584,0,"Census Tract 411, Franklin County, Illinois",NA
"17","031","818000","1400000US17031818000",4234,4234,4234,0,0,0,"Census Tract 8180, Cook County, Illinois",NA
"17","031","802200","1400000US17031802200",4410,4410,4410,0,0,0,"Census Tract 8022, Cook County, Illinois",NA
"17","097","866100","1400000US17097866100",3556,3556,3556,0,0,0,"Census Tract 8661, Lake County, Illinois",NA
"17","031","834800","1400000US17031834800",1953,1953,1953,0,0,0,"Census Tract 8348, Cook County, Illinois",NA
"17","031","808302","1400000US17031808302",3934,3934,3934,0,0,0,"Census Tract 8083.02, Cook County, Illinois",NA
"17","031","830007","1400000US17031830007",5039,5039,5039,0,0,0,"Census Tract 8300.07, Cook County, Illinois",NA
"17","031","220400","1400000US17031220400",2495,2495,2495,0,0,0,"Census Tract 2204, Cook County, Illinois",NA
"17","031","251700","1400000US17031251700",1495,1495,1495,0,0,0,"Census Tract 2517, Cook County, Illinois",NA
"17","031","640600","1400000US17031640600",3912,3912,3912,0,0,0,"Census Tract 6406, Cook County, Illinois",NA
"17","019","000402","1400000US17019000402",3931,3931,3931,0,0,0,"Census Tract 4.02, Champaign County, Illinois",NA
"17","127","970100","1400000US17127970100",4895,38,0,38,4857,0,"Census Tract 9701, Massac County, Illinois",NA
"17","029","000300","1400000US17029000300",4656,4625,0,4625,31,0,"Census Tract 3, Coles County, Illinois",NA
"17","111","871104","1400000US17111871104",17533,17528,17528,0,5,0,"Census Tract 8711.04, McHenry County, Illinois",NA
"17","031","460302","1400000US17031460302",3803,3803,3803,0,0,0,"Census Tract 4603.02, Cook County, Illinois",NA
"17","183","011100","1400000US17183011100",2712,0,0,0,2712,0,"Census Tract 111, Vermilion County, Illinois",NA
"17","167","000100","1400000US17167000100",3967,3615,3615,0,352,0,"Census Tract 1, Sangamon County, Illinois",NA
"17","031","818401","1400000US17031818401",3634,3634,3634,0,0,0,"Census Tract 8184.01, Cook County, Illinois",NA
"17","031","829600","1400000US17031829600",3062,3062,3062,0,0,0,"Census Tract 8296, Cook County, Illinois",NA
"17","031","838600","1400000US17031838600",1598,1598,1598,0,0,0,"Census Tract 8386, Cook County, Illinois",NA
