"label","exposure_spline","mean","rr"
"cvd_stroke_80",0,1,1
"cvd_stroke_80",0.01,1.00011160659068,1.00011160659068
"cvd_stroke_80",0.02,1.00022319340756,1.00022319340756
"cvd_stroke_80",0.03,1.00033476045506,1.00033476045506
"cvd_stroke_80",0.04,1.00044630773762,1.00044630773762
"cvd_stroke_80",0.05,1.00055783525966,1.00055783525966
"cvd_stroke_80",0.06,1.00066934302562,1.00066934302562
"cvd_stroke_80",0.07,1.00078083103991,1.00078083103991
"cvd_stroke_80",0.08,1.00089229930697,1.00089229930697
"cvd_stroke_80",0.09,1.00100374783122,1.00100374783122
"cvd_stroke_80",0.1,1.00111517661709,1.00111517661709
"cvd_stroke_80",0.11,1.00122658566902,1.00122658566902
"cvd_stroke_80",0.12,1.00133797499143,1.00133797499143
"cvd_stroke_80",0.13,1.00144934458874,1.00144934458874
"cvd_stroke_80",0.14,1.00156069446538,1.00156069446538
"cvd_stroke_80",0.15,1.00167202462579,1.00167202462579
"cvd_stroke_80",0.16,1.00178333507439,1.00178333507439
"cvd_stroke_80",0.17,1.00189462581561,1.00189462581561
"cvd_stroke_80",0.18,1.00200589685388,1.00200589685388
"cvd_stroke_80",0.19,1.00211714819362,1.00211714819362
"cvd_stroke_80",0.2,1.00222837983926,1.00222837983926
"cvd_stroke_80",0.21,1.00233959179523,1.00233959179523
"cvd_stroke_80",0.22,1.00245078406596,1.00245078406596
"cvd_stroke_80",0.23,1.00256195665588,1.00256195665588
"cvd_stroke_80",0.24,1.00267310956941,1.00267310956941
"cvd_stroke_80",0.25,1.00278424281099,1.00278424281099
"cvd_stroke_80",0.26,1.00289535638504,1.00289535638504
"cvd_stroke_80",0.27,1.00300645029598,1.00300645029598
"cvd_stroke_80",0.28,1.00311752454825,1.00311752454825
"cvd_stroke_80",0.29,1.00322857914628,1.00322857914628
"cvd_stroke_80",0.3,1.00333961409449,1.00333961409449
"cvd_stroke_80",0.31,1.00345062939731,1.00345062939731
