"label","exposure_spline","mean","rr"
"cvd_stroke_70",0,1,1
"cvd_stroke_70",0.01,1.00014837084718,1.00014837084718
"cvd_stroke_70",0.02,1.00029672042086,1.00029672042086
"cvd_stroke_70",0.03,1.00044504872512,1.00044504872512
"cvd_stroke_70",0.04,1.00059335576409,1.00059335576409
"cvd_stroke_70",0.05,1.00074164154187,1.00074164154187
"cvd_stroke_70",0.06,1.00088990606256,1.00088990606256
"cvd_stroke_70",0.07,1.00103814933027,1.00103814933027
"cvd_stroke_70",0.08,1.00118637134911,1.00118637134911
"cvd_stroke_70",0.09,1.00133457212319,1.00133457212319
"cvd_stroke_70",0.1,1.0014827516566,1.0014827516566
"cvd_stroke_70",0.11,1.00163090995347,1.00163090995347
"cvd_stroke_70",0.12,1.00177904701789,1.00177904701789
"cvd_stroke_70",0.13,1.00192716285398,1.00192716285398
"cvd_stroke_70",0.14,1.00207525746583,1.00207525746583
"cvd_stroke_70",0.15,1.00222333085756,1.00222333085756
"cvd_stroke_70",0.16,1.00237138303328,1.00237138303328
"cvd_stroke_70",0.17,1.00251941399708,1.00251941399708
"cvd_stroke_70",0.18,1.00266742375308,1.00266742375308
"cvd_stroke_70",0.19,1.00281541230538,1.00281541230538
"cvd_stroke_70",0.2,1.00296337965809,1.00296337965809
"cvd_stroke_70",0.21,1.00311132581532,1.00311132581532
"cvd_stroke_70",0.22,1.00325925078117,1.00325925078117
"cvd_stroke_70",0.23,1.00340715455975,1.00340715455975
"cvd_stroke_70",0.24,1.00355503715517,1.00355503715517
"cvd_stroke_70",0.25,1.00370289857154,1.00370289857154
"cvd_stroke_70",0.26,1.00385073881295,1.00385073881295
"cvd_stroke_70",0.27,1.00399855788352,1.00399855788352
"cvd_stroke_70",0.28,1.00414635578736,1.00414635578736
"cvd_stroke_70",0.29,1.00429413252857,1.00429413252857
"cvd_stroke_70",0.3,1.00444188811125,1.00444188811125
"cvd_stroke_70",0.31,1.00458962253952,1.00458962253952
"cvd_stroke_70",0.32,1.00473733581748,1.00473733581748
"cvd_stroke_70",0.33,1.00488502794924,1.00488502794924
"cvd_stroke_70",0.34,1.00503269893891,1.00503269893891
"cvd_stroke_70",0.35,1.00518034879059,1.00518034879059
"cvd_stroke_70",0.36,1.00532797750838,1.00532797750838
"cvd_stroke_70",0.37,1.0054755850964,1.0054755850964
