"label","exposure_spline","mean","rr"
"lri",0,1,1
"lri",0.01,1.00007997181211,1.00007997181211
"lri",0.02,1.00015993995514,1.00015993995514
"lri",0.03,1.00023990442923,1.00023990442923
"lri",0.04,1.00031986523455,1.00031986523455
"lri",0.05,1.00039982237127,1.00039982237127
"lri",0.06,1.00047977583953,1.00047977583953
"lri",0.07,1.0005597256395,1.0005597256395
"lri",0.08,1.00063967177134,1.00063967177134
"lri",0.09,1.00071961423522,1.00071961423522
"lri",0.1,1.00079955303128,1.00079955303128
"lri",0.11,1.0008794881597,1.0008794881597
"lri",0.12,1.00095941962062,1.00095941962062
"lri",0.13,1.00103934741422,1.00103934741422
"lri",0.14,1.00111927154065,1.00111927154065
"lri",0.15,1.00119919200006,1.00119919200006
"lri",0.16,1.00127910879263,1.00127910879263
"lri",0.17,1.00135902191851,1.00135902191851
"lri",0.18,1.00143893137787,1.00143893137787
"lri",0.19,1.00151883717085,1.00151883717085
"lri",0.2,1.00159873929763,1.00159873929763
"lri",0.21,1.00167863775835,1.00167863775835
"lri",0.22,1.00175853255319,1.00175853255319
"lri",0.23,1.0018384236823,1.0018384236823
"lri",0.24,1.00191831114585,1.00191831114585
"lri",0.25,1.00199819494398,1.00199819494398
"lri",0.26,1.00207807507687,1.00207807507687
"lri",0.27,1.00215795154467,1.00215795154467
"lri",0.28,1.00223782434755,1.00223782434755
"lri",0.29,1.00231769348565,1.00231769348565
"lri",0.3,1.00239755895915,1.00239755895915
"lri",0.31,1.0024774207682,1.0024774207682
"lri",0.32,1.00255727891297,1.00255727891297
"lri",0.33,1.0026371333936,1.0026371333936
"lri",0.34,1.00271698421028,1.00271698421028
"lri",0.35,1.00279683136314,1.00279683136314
"lri",0.36,1.00287667485236,1.00287667485236
"lri",0.37,1.00295651467809,1.00295651467809
"lri",0.38,1.0030363508405,1.0030363508405
"lri",0.39,1.00311618333974,1.00311618333974
"lri",0.4,1.00319601217597,1.00319601217597
"lri",0.41,1.00327583734936,1.00327583734936
"lri",0.42,1.00335565886006,1.00335565886006
"lri",0.43,1.00343547670824,1.00343547670824
"lri",0.44,1.00351529089405,1.00351529089405
"lri",0.45,1.00359510141766,1.00359510141766
"lri",0.46,1.00367490827922,1.00367490827922
"lri",0.47,1.00375471147889,1.00375471147889
"lri",0.48,1.00383451101684,1.00383451101684
"lri",0.49,1.00391430689323,1.00391430689323
"lri",0.5,1.00399409910821,1.00399409910821
"lri",0.51,1.00407388766195,1.00407388766195
"lri",0.52,1.0041536725546,1.0041536725546
"lri",0.53,1.00423345378632,1.00423345378632
"lri",0.54,1.00431323135729,1.00431323135729
