"label","exposure_spline","mean","rr"
"cvd_ihd_35",0,1,1
"cvd_ihd_35",0.01,1.00032039025395,1.00032039025395
"cvd_ihd_35",0.02,1.00064071890069,1.00064071890069
"cvd_ihd_35",0.03,1.00096098594883,1.00096098594883
"cvd_ihd_35",0.04,1.00128119140698,1.00128119140698
"cvd_ihd_35",0.05,1.00160133528375,1.00160133528375
"cvd_ihd_35",0.06,1.00192141758774,1.00192141758774
"cvd_ihd_35",0.07,1.00224143832757,1.00224143832757
"cvd_ihd_35",0.08,1.00256139751183,1.00256139751183
"cvd_ihd_35",0.09,1.00288129514914,1.00288129514914
"cvd_ihd_35",0.1,1.0032011312481,1.0032011312481
"cvd_ihd_35",0.11,1.00352090581733,1.00352090581733
"cvd_ihd_35",0.12,1.00384061886542,1.00384061886542
"cvd_ihd_35",0.13,1.00416027040099,1.00416027040099
"cvd_ihd_35",0.14,1.00447986043264,1.00447986043264
"cvd_ihd_35",0.15,1.00479938896898,1.00479938896898
"cvd_ihd_35",0.16,1.00511885601862,1.00511885601862
"cvd_ihd_35",0.17,1.00543826159016,1.00543826159016
"cvd_ihd_35",0.18,1.00575760569221,1.00575760569221
"cvd_ihd_35",0.19,1.00607688833339,1.00607688833339
"cvd_ihd_35",0.2,1.00639610952229,1.00639610952229
"cvd_ihd_35",0.21,1.00671526926752,1.00671526926752
"cvd_ihd_35",0.22,1.0070343675777,1.0070343675777
"cvd_ihd_35",0.23,1.00735340446142,1.00735340446142
"cvd_ihd_35",0.24,1.0076723799273,1.0076723799273
"cvd_ihd_35",0.25,1.00799129398394,1.00799129398394
"cvd_ihd_35",0.26,1.00831014663996,1.00831014663996
"cvd_ihd_35",0.27,1.00862893790395,1.00862893790395
"cvd_ihd_35",0.28,1.00894766778452,1.00894766778452
"cvd_ihd_35",0.29,1.00926633629029,1.00926633629029
"cvd_ihd_35",0.3,1.00958494342986,1.00958494342986
"cvd_ihd_35",0.31,1.00990348921184,1.00990348921184
"cvd_ihd_35",0.32,1.01022197364483,1.01022197364483
"cvd_ihd_35",0.33,1.01054039673744,1.01054039673744
"cvd_ihd_35",0.34,1.01085875849828,1.01085875849828
"cvd_ihd_35",0.35,1.01117705893596,1.01117705893596
"cvd_ihd_35",0.36,1.01149529805908,1.01149529805908
"cvd_ihd_35",0.37,1.01181347587625,1.01181347587625
"cvd_ihd_35",0.38,1.01213159239608,1.01213159239608
"cvd_ihd_35",0.39,1.01244964762718,1.01244964762718
"cvd_ihd_35",0.4,1.01276764157814,1.01276764157814
"cvd_ihd_35",0.41,1.01308557425759,1.01308557425759
"cvd_ihd_35",0.42,1.01340344567413,1.01340344567413
"cvd_ihd_35",0.43,1.01372125583636,1.01372125583636
"cvd_ihd_35",0.44,1.01403900475289,1.01403900475289
"cvd_ihd_35",0.45,1.01435669243234,1.01435669243234
"cvd_ihd_35",0.46,1.0146743188833,1.0146743188833
"cvd_ihd_35",0.47,1.01499188411438,1.01499188411438
"cvd_ihd_35",0.48,1.0153093881342,1.0153093881342
"cvd_ihd_35",0.49,1.01562683095135,1.01562683095135
"cvd_ihd_35",0.5,1.01594421257445,1.01594421257445
"cvd_ihd_35",0.51,1.0162615330121,1.0162615330121
"cvd_ihd_35",0.52,1.01657879227292,1.01657879227292
"cvd_ihd_35",0.53,1.0168959903655,1.0168959903655
"cvd_ihd_35",0.54,1.01721312729846,1.01721312729846
"cvd_ihd_35",0.55,1.0175302030804,1.0175302030804
"cvd_ihd_35",0.56,1.01784721771993,1.01784721771993
"cvd_ihd_35",0.57,1.01816417122565,1.01816417122565
"cvd_ihd_35",0.58,1.01848106360618,1.01848106360618
"cvd_ihd_35",0.59,1.01879789487013,1.01879789487013
"cvd_ihd_35",0.6,1.01911466502609,1.01911466502609
"cvd_ihd_35",0.61,1.01943137408268,1.01943137408268
"cvd_ihd_35",0.62,1.0197480220485,1.0197480220485
"cvd_ihd_35",0.63,1.02006460893217,1.02006460893217
"cvd_ihd_35",0.64,1.02038113474228,1.02038113474228
"cvd_ihd_35",0.65,1.02069759948745,1.02069759948745
"cvd_ihd_35",0.66,1.02101400317628,1.02101400317628
"cvd_ihd_35",0.67,1.02133034581738,1.02133034581738
"cvd_ihd_35",0.68,1.02164662741936,1.02164662741936
"cvd_ihd_35",0.69,1.02196284799083,1.02196284799083
"cvd_ihd_35",0.7,1.02227900754038,1.02227900754038
"cvd_ihd_35",0.71,1.02259510607664,1.02259510607664
"cvd_ihd_35",0.72,1.02291114360821,1.02291114360821
