"label","exposure_spline","mean","rr"
"cvd_stroke_75",0,1,1
"cvd_stroke_75",0.01,1.00012628075162,1.00012628075162
"cvd_stroke_75",0.02,1.00025254306374,1.00025254306374
"cvd_stroke_75",0.03,1.0003787869398,1.0003787869398
"cvd_stroke_75",0.04,1.00050501238325,1.00050501238325
"cvd_stroke_75",0.05,1.00063121939751,1.00063121939751
"cvd_stroke_75",0.06,1.00075740798604,1.00075740798604
"cvd_stroke_75",0.07,1.00088357815227,1.00088357815227
"cvd_stroke_75",0.08,1.00100972989965,1.00100972989965
"cvd_stroke_75",0.09,1.00113586323161,1.00113586323161
"cvd_stroke_75",0.1,1.0012619781516,1.0012619781516
"cvd_stroke_75",0.11,1.00138807466305,1.00138807466305
"cvd_stroke_75",0.12,1.00151415276941,1.00151415276941
"cvd_stroke_75",0.13,1.00164021247412,1.00164021247412
"cvd_stroke_75",0.14,1.00176625378061,1.00176625378061
"cvd_stroke_75",0.15,1.00189227669234,1.00189227669234
"cvd_stroke_75",0.16,1.00201828121273,1.00201828121273
"cvd_stroke_75",0.17,1.00214426734523,1.00214426734523
"cvd_stroke_75",0.18,1.00227023509328,1.00227023509328
"cvd_stroke_75",0.19,1.00239618446033,1.00239618446033
"cvd_stroke_75",0.2,1.0025221154498,1.0025221154498
"cvd_stroke_75",0.21,1.00264802806515,1.00264802806515
"cvd_stroke_75",0.22,1.00277392230982,1.00277392230982
"cvd_stroke_75",0.23,1.00289979818723,1.00289979818723
"cvd_stroke_75",0.24,1.00302565570084,1.00302565570084
"cvd_stroke_75",0.25,1.00315149485408,1.00315149485408
"cvd_stroke_75",0.26,1.0032773156504,1.0032773156504
"cvd_stroke_75",0.27,1.00340311809324,1.00340311809324
"cvd_stroke_75",0.28,1.00352890218603,1.00352890218603
"cvd_stroke_75",0.29,1.00365466793222,1.00365466793222
"cvd_stroke_75",0.3,1.00378041533525,1.00378041533525
"cvd_stroke_75",0.31,1.00390614439856,1.00390614439856
"cvd_stroke_75",0.32,1.00403185512559,1.00403185512559
"cvd_stroke_75",0.33,1.00415754751977,1.00415754751977
"cvd_stroke_75",0.34,1.00428322158456,1.00428322158456
"cvd_stroke_75",0.35,1.00440887732339,1.00440887732339
"cvd_stroke_75",0.36,1.0045345147397,1.0045345147397
"cvd_stroke_75",0.37,1.00466013383693,1.00466013383693
"cvd_stroke_75",0.38,1.00478573461853,1.00478573461853
"cvd_stroke_75",0.39,1.00491131708793,1.00491131708793
"cvd_stroke_75",0.4,1.00503688124857,1.00503688124857
"cvd_stroke_75",0.41,1.0051624271039,1.0051624271039
"cvd_stroke_75",0.42,1.00528795465736,1.00528795465736
"cvd_stroke_75",0.43,1.00541346391238,1.00541346391238
"cvd_stroke_75",0.44,1.00553895487241,1.00553895487241
"cvd_stroke_75",0.45,1.00566442754088,1.00566442754088
"cvd_stroke_75",0.46,1.00578988192125,1.00578988192125
"cvd_stroke_75",0.47,1.00591531801694,1.00591531801694
"cvd_stroke_75",0.48,1.0060407358314,1.0060407358314
"cvd_stroke_75",0.49,1.00616613536808,1.00616613536808
"cvd_stroke_75",0.5,1.0062915166304,1.0062915166304
"cvd_stroke_75",0.51,1.00641687962181,1.00641687962181
"cvd_stroke_75",0.52,1.00654222434576,1.00654222434576
"cvd_stroke_75",0.53,1.00666755080568,1.00666755080568
"cvd_stroke_75",0.54,1.00679285900501,1.00679285900501
"cvd_stroke_75",0.55,1.0069181489472,1.0069181489472
"cvd_stroke_75",0.56,1.00704342063568,1.00704342063568
"cvd_stroke_75",0.57,1.0071686740739,1.0071686740739
"cvd_stroke_75",0.58,1.00729390926529,1.00729390926529
"cvd_stroke_75",0.59,1.0074191262133,1.0074191262133
"cvd_stroke_75",0.6,1.00754432492136,1.00754432492136
"cvd_stroke_75",0.61,1.00766950539293,1.00766950539293
"cvd_stroke_75",0.62,1.00779466763143,1.00779466763143
"cvd_stroke_75",0.63,1.00791981164031,1.00791981164031
"cvd_stroke_75",0.64,1.00804493742301,1.00804493742301
