"COUNTYFP","TRACT","pm","label_cause","age_group_id","rr"
17,954300,15.26,"resp_copd","all ages",1.16306911755268
17,954400,16.1,"resp_copd","all ages",1.1734357228231
17,954500,15.67,"resp_copd","all ages",1.1734357228231
17,954600,16.3,"resp_copd","all ages",1.1734357228231
17,954700,15.54,"resp_copd","all ages",1.1734357228231
19,955700,16.08,"resp_copd","all ages",1.1734357228231
19,955800,16.24,"resp_copd","all ages",1.1734357228231
19,955900,17.11,"resp_copd","all ages",1.18374363205913
19,956000,16.63,"resp_copd","all ages",1.18374363205913
19,956100,16.59,"resp_copd","all ages",1.18374363205913
21,60101,16.07,"resp_copd","all ages",1.1734357228231
21,60102,16.37,"resp_copd","all ages",1.1734357228231
21,60200,16.21,"resp_copd","all ages",1.1734357228231
21,60300,16.68,"resp_copd","all ages",1.18374363205913
21,60401,16.21,"resp_copd","all ages",1.1734357228231
21,60402,16.45,"resp_copd","all ages",1.1734357228231
21,60500,16.33,"resp_copd","all ages",1.1734357228231
21,60600,16.22,"resp_copd","all ages",1.1734357228231
21,60700,15.93,"resp_copd","all ages",1.1734357228231
23,956700,14.42,"resp_copd","all ages",1.15264304196203
23,956800,14.31,"resp_copd","all ages",1.15264304196203
23,956900,14.06,"resp_copd","all ages",1.15264304196203
23,957000,14,"resp_copd","all ages",1.15264304196203
25,957500,14.37,"resp_copd","all ages",1.15264304196203
25,957600,14.51,"resp_copd","all ages",1.16306911755268
25,957700,14.5,"resp_copd","all ages",1.16306911755268
25,957800,14.51,"resp_copd","all ages",1.16306911755268
25,957901,14.6,"resp_copd","all ages",1.16306911755268
25,957902,14.64,"resp_copd","all ages",1.16306911755268
25,958000,14.38,"resp_copd","all ages",1.15264304196203
27,958900,14.9,"resp_copd","all ages",1.16306911755268
27,959000,14.6,"resp_copd","all ages",1.16306911755268
27,959100,15.53,"resp_copd","all ages",1.1734357228231
27,959200,15.05,"resp_copd","all ages",1.16306911755268
29,959500,15.56,"resp_copd","all ages",1.1734357228231
29,959600,15.26,"resp_copd","all ages",1.16306911755268
29,959700,15.39,"resp_copd","all ages",1.16306911755268
29,959800,15.33,"resp_copd","all ages",1.16306911755268
31,10100,15.22,"resp_copd","all ages",1.16306911755268
31,10200,15.22,"resp_copd","all ages",1.16306911755268
31,10300,14.64,"resp_copd","all ages",1.16306911755268
31,10400,14.86,"resp_copd","all ages",1.16306911755268
31,10500,14.87,"resp_copd","all ages",1.16306911755268
31,10600,14.91,"resp_copd","all ages",1.16306911755268
31,10700,14.92,"resp_copd","all ages",1.16306911755268
31,10800,15.07,"resp_copd","all ages",1.16306911755268
31,10900,14.86,"resp_copd","all ages",1.16306911755268
31,11000,14.95,"resp_copd","all ages",1.16306911755268
31,11100,15.65,"resp_copd","all ages",1.1734357228231
31,11201,14.74,"resp_copd","all ages",1.16306911755268
31,11202,15.33,"resp_copd","all ages",1.16306911755268
31,11300,15.12,"resp_copd","all ages",1.16306911755268
33,20100,16.21,"resp_copd","all ages",1.1734357228231
33,20200,17.52,"resp_copd","all ages",1.19399361954659
33,20300,16.67,"resp_copd","all ages",1.18374363205913
33,20400,16.29,"resp_copd","all ages",1.1734357228231
33,20500,16.11,"resp_copd","all ages",1.1734357228231
33,20600,16.65,"resp_copd","all ages",1.18374363205913
33,20701,16.16,"resp_copd","all ages",1.1734357228231
33,20702,17.09,"resp_copd","all ages",1.18374363205913
33,20801,15.79,"resp_copd","all ages",1.1734357228231
33,20802,15.81,"resp_copd","all ages",1.1734357228231
33,20900,14.91,"resp_copd","all ages",1.16306911755268
33,21000,14.24,"resp_copd","all ages",1.15264304196203
35,960200,14.81,"resp_copd","all ages",1.16306911755268
35,960300,14.37,"resp_copd","all ages",1.15264304196203
35,960400,14.81,"resp_copd","all ages",1.16306911755268
35,960500,15.12,"resp_copd","all ages",1.16306911755268
35,960600,15.05,"resp_copd","all ages",1.16306911755268
37,961000,15.36,"resp_copd","all ages",1.16306911755268
37,961100,15.89,"resp_copd","all ages",1.1734357228231
37,961200,15.49,"resp_copd","all ages",1.16306911755268
39,961600,15.06,"resp_copd","all ages",1.16306911755268
39,961700,14.97,"resp_copd","all ages",1.16306911755268
39,961800,15.01,"resp_copd","all ages",1.16306911755268
39,961900,15.18,"resp_copd","all ages",1.16306911755268
39,962000,15.19,"resp_copd","all ages",1.16306911755268
39,962100,15.52,"resp_copd","all ages",1.1734357228231
39,962300,15.05,"resp_copd","all ages",1.16306911755268
39,962400,14.93,"resp_copd","all ages",1.16306911755268
39,962500,15.61,"resp_copd","all ages",1.1734357228231
39,962600,15.45,"resp_copd","all ages",1.16306911755268
39,962700,15.25,"resp_copd","all ages",1.16306911755268
39,962800,15.05,"resp_copd","all ages",1.16306911755268
39,962900,14.56,"resp_copd","all ages",1.16306911755268
39,963000,14.78,"resp_copd","all ages",1.16306911755268
41,963400,14.98,"resp_copd","all ages",1.16306911755268
41,963500,15.18,"resp_copd","all ages",1.16306911755268
41,963600,15.36,"resp_copd","all ages",1.16306911755268
41,963700,15.27,"resp_copd","all ages",1.16306911755268
41,963800,15.21,"resp_copd","all ages",1.16306911755268
41,963900,14.85,"resp_copd","all ages",1.16306911755268
43,964100,15.43,"resp_copd","all ages",1.16306911755268
43,964200,15.51,"resp_copd","all ages",1.1734357228231
43,964300,15.4,"resp_copd","all ages",1.16306911755268
43,964400,15.23,"resp_copd","all ages",1.16306911755268
43,964500,15.13,"resp_copd","all ages",1.16306911755268
43,964600,15.74,"resp_copd","all ages",1.1734357228231
43,964700,16.35,"resp_copd","all ages",1.1734357228231
43,964800,16.71,"resp_copd","all ages",1.18374363205913
43,964900,16.6,"resp_copd","all ages",1.18374363205913
43,965000,17.24,"resp_copd","all ages",1.18374363205913
43,965100,16.71,"resp_copd","all ages",1.18374363205913
43,965200,16.65,"resp_copd","all ages",1.18374363205913
43,965300,16.13,"resp_copd","all ages",1.1734357228231
43,965400,17.05,"resp_copd","all ages",1.18374363205913
43,965500,16.48,"resp_copd","all ages",1.1734357228231
43,965600,14.86,"resp_copd","all ages",1.16306911755268
43,965700,16.12,"resp_copd","all ages",1.1734357228231
45,20100,15.05,"resp_copd","all ages",1.16306911755268
45,20200,14.91,"resp_copd","all ages",1.16306911755268
45,20300,14.98,"resp_copd","all ages",1.16306911755268
45,20400,15.19,"resp_copd","all ages",1.16306911755268
45,20500,15.45,"resp_copd","all ages",1.16306911755268
45,20700,15.64,"resp_copd","all ages",1.1734357228231
45,20800,15.15,"resp_copd","all ages",1.16306911755268
45,20900,14.59,"resp_copd","all ages",1.16306911755268
45,21000,14.9,"resp_copd","all ages",1.16306911755268
45,21101,14.87,"resp_copd","all ages",1.16306911755268
45,21102,15.28,"resp_copd","all ages",1.16306911755268
45,21200,15.18,"resp_copd","all ages",1.16306911755268
45,21300,14.61,"resp_copd","all ages",1.16306911755268
45,21400,14.42,"resp_copd","all ages",1.15264304196203
47,996100,16.38,"resp_copd","all ages",1.1734357228231
47,996200,15.94,"resp_copd","all ages",1.1734357228231
47,996300,16.48,"resp_copd","all ages",1.1734357228231
47,996400,17.5,"resp_copd","all ages",1.19399361954659
47,996500,17.46,"resp_copd","all ages",1.18374363205913
47,996600,17.34,"resp_copd","all ages",1.18374363205913
47,996700,16.56,"resp_copd","all ages",1.18374363205913
47,996800,16.62,"resp_copd","all ages",1.18374363205913
47,996900,15.83,"resp_copd","all ages",1.1734357228231
47,997000,15.65,"resp_copd","all ages",1.1734357228231
47,997100,16.08,"resp_copd","all ages",1.1734357228231
47,997200,16.2,"resp_copd","all ages",1.1734357228231
47,997300,16.49,"resp_copd","all ages",1.1734357228231
49,960100,13.89,"resp_copd","all ages",1.15264304196203
49,960200,14.44,"resp_copd","all ages",1.15264304196203
49,960300,15.64,"resp_copd","all ages",1.1734357228231
49,960400,15.43,"resp_copd","all ages",1.16306911755268
49,960500,16.03,"resp_copd","all ages",1.1734357228231
49,960600,15.62,"resp_copd","all ages",1.1734357228231
49,960700,15.42,"resp_copd","all ages",1.16306911755268
49,960800,16.33,"resp_copd","all ages",1.1734357228231
49,960900,15.77,"resp_copd","all ages",1.1734357228231
49,961000,14.65,"resp_copd","all ages",1.16306911755268
49,961100,16.17,"resp_copd","all ages",1.1734357228231
49,961200,15.99,"resp_copd","all ages",1.1734357228231
49,961300,14.01,"resp_copd","all ages",1.15264304196203
49,961400,14.26,"resp_copd","all ages",1.15264304196203
51,30100,15.77,"resp_copd","all ages",1.1734357228231
51,30200,15.68,"resp_copd","all ages",1.1734357228231
51,30300,16.19,"resp_copd","all ages",1.1734357228231
51,30400,16.11,"resp_copd","all ages",1.1734357228231
51,30500,15.79,"resp_copd","all ages",1.1734357228231
51,30600,16.02,"resp_copd","all ages",1.1734357228231
51,30700,16.11,"resp_copd","all ages",1.1734357228231
51,30800,15.99,"resp_copd","all ages",1.1734357228231
51,30900,16.09,"resp_copd","all ages",1.1734357228231
51,31000,16.37,"resp_copd","all ages",1.1734357228231
51,31100,16.8,"resp_copd","all ages",1.18374363205913
51,31200,16.74,"resp_copd","all ages",1.18374363205913
51,31300,16.51,"resp_copd","all ages",1.18374363205913
53,969800,14.59,"resp_copd","all ages",1.16306911755268
53,969900,14.51,"resp_copd","all ages",1.16306911755268
53,970100,14.7,"resp_copd","all ages",1.16306911755268
53,970200,15.27,"resp_copd","all ages",1.16306911755268
53,970300,14.34,"resp_copd","all ages",1.15264304196203
53,970400,14.27,"resp_copd","all ages",1.15264304196203
53,970500,14.44,"resp_copd","all ages",1.15264304196203
53,970600,14.53,"resp_copd","all ages",1.16306911755268
53,970700,14.53,"resp_copd","all ages",1.16306911755268
55,200,18.48,"resp_copd","all ages",1.19399361954659
55,300,17.92,"resp_copd","all ages",1.19399361954659
55,400,16.82,"resp_copd","all ages",1.18374363205913
55,500,17.59,"resp_copd","all ages",1.19399361954659
55,600,18.78,"resp_copd","all ages",1.20418645957133
55,700,18.81,"resp_copd","all ages",1.20418645957133
55,800,19.25,"resp_copd","all ages",1.20418645957133
55,900,18.18,"resp_copd","all ages",1.19399361954659
55,1000,19.31,"resp_copd","all ages",1.20418645957133
55,1100,16.9,"resp_copd","all ages",1.18374363205913
