"label_cause","censMeta.variable","pafs","Census_Region"
"resp_copd","P012C039",0.0199437495262594,1
"resp_copd","P012C037",0.0192842306503531,1
"resp_copd","P012C038",0.0225980840317463,1
"resp_copd","P012C035",NA,1
"resp_copd","P012C036",0.0190934353676128,1
"resp_copd","P012C044",0.0127202360211141,1
"resp_copd","P012C045",0.0120246502932747,1
"resp_copd","P012C042",0.0257367755412347,1
"resp_copd","P012C043",0.024756834166531,1
"resp_copd","P012C040",0.0255382115343723,1
"resp_copd","P012C041",0.0180058979170383,1
"resp_copd","P012C048",NA,1
"resp_copd","P012C049",0.0240942672562998,1
"resp_copd","P012C046",0.0267420839013278,1
"resp_copd","P012C047",0.0250140776951287,1
"resp_copd","P012D009",0.0211105907330244,1
"resp_copd","P012D007",0.0184418949244242,1
"resp_copd","P012D008",NA,1
"resp_copd","P012D005",0.0301271590876962,1
"resp_copd","P012D006",0.0241500608213921,1
"resp_copd","P012D003",0.030549671939592,1
"resp_copd","P012D004",0.0239166044819813,1
"resp_copd","P012D012",0.0238966231768847,1
"resp_copd","P012D013",0.0245563229485994,1
"resp_copd","P012D010",0.0254085943159973,1
"resp_copd","P012D011",0.03192158707389,1
"resp_copd","P012D018",0.0303950451109969,1
"resp_copd","P012D019",0.021240957174839,1
"resp_copd","P012D016",0.0336051594886434,1
"resp_copd","P012D017",0.0236624751293744,1
"resp_copd","P012D014",0.0278481198556577,1
"resp_copd","P012D015",0.0293968751748981,1
"resp_copd","P012D023",0.0248034295970557,1
"resp_copd","P012D024",0.0331867106834931,1
"resp_copd","P012D021",NA,1
"resp_copd","P012D022",0.0199188835769013,1
"resp_copd","P012D020",0.0250236359312965,1
"resp_copd","P012D029",0.0288461447121903,1
"resp_copd","P012D027",0.0270512395431952,1
"resp_copd","P012D028",0.028612881706336,1
"resp_copd","P012D025",0.0148108468389699,1
"resp_copd","P012D034",0.019649218770411,1
"resp_copd","P012D035",NA,1
"resp_copd","P012D032",0.0208535858512211,1
"resp_copd","P012D033",0.022446586476369,1
"resp_copd","P012D030",0.0327509233249541,1
"resp_copd","P012D031",0.0198985364338014,1
"resp_copd","P012D038",0.0387264312999069,1
"resp_copd","P012D039",0.0236221523412389,1
"resp_copd","P012D036",0.0235754582102067,1
"resp_copd","P012D037",0.0332190271542103,1
"resp_copd","P012D045",0.0295469182651181,1
"resp_copd","P012D046",0.0191948423045215,1
"resp_copd","P012D043",0.031102716457364,1
"resp_copd","P012D044",0.0222133626850406,1
"resp_copd","P012D041",0.0321508773690978,1
"resp_copd","P012D042",0.0258150737563979,1
"resp_copd","P012D040",0.0268506612145639,1
"resp_copd","P012D049",0.0204546143020865,1
"resp_copd","P012D047",0.0204633765936829,1
"resp_copd","P012D048",NA,1
"resp_copd","PCT012J190",0.00777921059390361,1
"resp_copd","PCT012J191",0.0170417832181882,1
"resp_copd","PCT012J194",0.0115527252938912,1
"resp_copd","PCT012J195",0.012736650980267,1
"resp_copd","PCT012J192",0.0147473713668027,1
"resp_copd","PCT012J193",0.0176885307413873,1
"resp_copd","PCT012J198",NA,1
"resp_copd","PCT012J199",0.0178015972757083,1
"resp_copd","PCT012J196",0.0118275089557543,1
"resp_copd","PCT012J197",0.0182568690360163,1
"resp_copd","PCT012J180",0.0189346165639987,1
"resp_copd","PCT012J189",0.0117081102813606,1
"resp_copd","PCT012J183",0.00979186657066553,1
"resp_copd","PCT012J184",0.016603144180919,1
"resp_copd","PCT012J181",0.0131166358397507,1
"resp_copd","PCT012J182",0.0165947505531922,1
"resp_copd","PCT012J187",0.0157553789763711,1
"resp_copd","PCT012J188",0.0170752125136429,1
"resp_copd","PCT012J185",NA,1
"resp_copd","PCT012J186",0.0188974923176125,1
"resp_copd","PCT012J178",0.0188433649350406,1
"resp_copd","PCT012J179",0.0140774872159823,1
"resp_copd","PCT012J172",NA,1
"resp_copd","PCT012J173",0.0187060915316526,1
"resp_copd","PCT012J170",0.0111177243833656,1
"resp_copd","PCT012J171",0.0162360557464227,1
"resp_copd","PCT012J176",0.0145709565943643,1
"resp_copd","PCT012J177",0.00737398669919461,1
"resp_copd","PCT012J174",0.0167778342118539,1
"resp_copd","PCT012J175",0.0179717363837378,1
"resp_copd","PCT012J169",0.0183923926551267,1
"resp_copd","PCT012J167",0.0188575161060387,1
"resp_copd","PCT012J168",0.0141280823200274,1
"resp_copd","PCT012J161",0.0196858368377051,1
"resp_copd","PCT012J162",0.0182498027197615,1
"resp_copd","PCT012J160",0.0246078876939076,1
"resp_copd","PCT012J165",0.0192784786555334,1
"resp_copd","PCT012J166",0.0168450187710224,1
"resp_copd","PCT012J163",0.0161640457631217,1
"resp_copd","PCT012J164",0.0101308574999907,1
"resp_copd","PCT012J208",0.021394234938547,1
"resp_copd","PCT012J209",0,1
"resp_copd","PCT012J202",0.0176874352195444,1
"resp_copd","PCT012J203",0.00652241582620523,1
"resp_copd","PCT012J200",0.0212951971944991,1
"resp_copd","PCT012J201",0.0214141233362595,1
"resp_copd","PCT012J206",0.0263122766446822,1
"resp_copd","PCT012J207",0.0113400119473977,1
"resp_copd","PCT012J204",0.0256686017819435,1
"resp_copd","PCT012J205",0.0192360339229828,1
"resp_copd","PCT012J070",0.0195033197104743,1
"resp_copd","PCT012J079",0.0189653408181512,1
"resp_copd","PCT012J073",0.020113990362105,1
"resp_copd","PCT012J074",0.0180815508821352,1
"resp_copd","PCT012J071",0.0178549602061244,1
"resp_copd","PCT012J072",0.00961800543514894,1
"resp_copd","PCT012J077",0.0172413768799093,1
"resp_copd","PCT012J078",0.0101457876370592,1
"resp_copd","PCT012J075",0.022343705028373,1
"resp_copd","PCT012J076",0.0134578631532343,1
"resp_copd","PCT012J068",0.0183570940130782,1
"resp_copd","PCT012J069",0.0183201561047875,1
"resp_copd","PCT012J062",0.0191619078558254,1
"resp_copd","PCT012J063",0.0143513047576072,1
"resp_copd","PCT012J060",0.0194351633255635,1
"resp_copd","PCT012J061",0.0176003606487272,1
"resp_copd","PCT012J066",0.0178389717705942,1
"resp_copd","PCT012J067",NA,1
"resp_copd","PCT012J064",0.018654548305633,1
"resp_copd","PCT012J065",0.0124701078476952,1
"resp_copd","PCT012J059",0.0112466944867195,1
"resp_copd","PCT012J057",0.0190413819727993,1
"resp_copd","PCT012J058",0.0164299908884475,1
"resp_copd","PCT012J051",0.0196247372027867,1
"resp_copd","PCT012J052",0.0149453337734218,1
"resp_copd","PCT012J050",0.0158177408739531,1
"resp_copd","PCT012J055",0.0224247885038786,1
"resp_copd","PCT012J056",0.0211605478416143,1
"resp_copd","PCT012J053",0.019319657925351,1
"resp_copd","PCT012J054",NA,1
"resp_copd","PCT012J048",0.0185543936617585,1
"resp_copd","PCT012J049",0.0218036680681743,1
"resp_copd","PCT012J046",0.011973785063648,1
"resp_copd","PCT012J047",0.0194596547024448,1
"resp_copd","PCT012J040",0.0204055378651295,1
"resp_copd","PCT012J041",NA,1
"resp_copd","PCT012J044",0.0176108776151409,1
"resp_copd","PCT012J045",0.0175680282195638,1
"resp_copd","PCT012J042",0.0210362749659045,1
"resp_copd","PCT012J043",0.0191610833570795,1
"resp_copd","PCT012J091",0.0113094446407585,1
"resp_copd","PCT012J092",0.0199474386774379,1
"resp_copd","PCT012J090",0.0136817678137691,1
"resp_copd","PCT012J095",0.0146033654869332,1
"resp_copd","PCT012J096",0.032320130583511,1
"resp_copd","PCT012J093",NA,1
"resp_copd","PCT012J094",0.0177835877217249,1
"resp_copd","PCT012J099",0.0216546931119616,1
"resp_copd","PCT012J097",0.0031699619950626,1
"resp_copd","PCT012J098",0.0230660619549219,1
"resp_copd","PCT012J080",NA,1
"resp_copd","PCT012J081",0.0141461438999366,1
"resp_copd","PCT012J084",0.0116718736616882,1
"resp_copd","PCT012J085",0.00705899286815404,1
"resp_copd","PCT012J082",0.0129559668461967,1
"resp_copd","PCT012J083",0.0206899237966704,1
"resp_copd","PCT012J088",0.0227001095834429,1
"resp_copd","PCT012J089",0.0148612893442363,1
"resp_copd","PCT012J086",0.0137827758541529,1
"resp_copd","PCT012J087",0.0164355504983279,1
"resp_copd","PCT012J109",0.0189235550373749,1
"resp_copd","PCT012J114",0.0186406984023937,1
"resp_copd","PCT012J115",0.0209676382582388,1
"resp_copd","PCT012J112",0.0101892707256446,1
"resp_copd","PCT012J113",0.0187004682883917,1
"resp_copd","PCT012J118",0.0129225670366149,1
"resp_copd","PCT012J119",0.0158833353237346,1
"resp_copd","PCT012J116",0.0136988919146125,1
"resp_copd","PCT012J117",0.0179971712249531,1
"resp_copd","PCT012J110",0.0160931952588507,1
