"label_cause","censMeta.variable","pafs","Census_Region"
"resp_copd","P012A005",0.0413995531577453,3
"resp_copd","P012A004",NA,3
"resp_copd","P012A007",0.0411204440845169,3
"resp_copd","P012A006",0.0378260898519063,3
"resp_copd","P012A003",0.0407855043025992,3
"resp_copd","P012A009",0.0357219178665358,3
"resp_copd","P012A008",0.0336854201328432,3
"resp_copd","P012A010",0.0353030295381619,3
"resp_copd","P012A016",0.0379514153221545,3
"resp_copd","P012A015",0.0374323740904159,3
"resp_copd","P012A018",0.0373574198430843,3
"resp_copd","P012A017",NA,3
"resp_copd","P012A012",0.0411187815519763,3
"resp_copd","P012A011",0.0382413008483256,3
"resp_copd","P012A014",0.037594698038129,3
"resp_copd","P012A013",0.0394356024694133,3
"resp_copd","P012A019",0.0365119699659113,3
"resp_copd","P012A021",0.0384913465407702,3
"resp_copd","P012A020",0.0378449208192351,3
"resp_copd","P012A027",0.038722793730565,3
"resp_copd","P012A029",0.03852318401593,3
"resp_copd","P012A028",0.0373246170760059,3
"resp_copd","P012A023",0.0351697122577331,3
"resp_copd","P012A022",0.035902523249358,3
"resp_copd","P012A025",0.0402103024597386,3
"resp_copd","P012A024",0.037028509625466,3
"resp_copd","P012A030",0.0390105895711612,3
"resp_copd","P012A032",0.0360544641199736,3
"resp_copd","P012A031",NA,3
"resp_copd","P012A038",0.0387576979143328,3
"resp_copd","P012A037",0.0389955003109136,3
"resp_copd","P012A039",0.0411363297967417,3
"resp_copd","P012A034",0.0400056043091592,3
"resp_copd","P012A033",0.0378344908232219,3
"resp_copd","P012A036",0.0386921877553812,3
"resp_copd","P012A035",0.0393546891400478,3
"resp_copd","P012A041",0.0361008600920855,3
"resp_copd","P012A040",0.0388299202381277,3
"resp_copd","P012A043",0.0369934033018075,3
"resp_copd","P012A042",0.0366602902909766,3
"resp_copd","P012A049",0.0348647605333139,3
"resp_copd","P012A048",0.0395599465568546,3
"resp_copd","P012A045",0.0368419996010897,3
"resp_copd","P012A044",NA,3
